[17:43:17.280] [INFO   ] thread main starting.
[17:43:17.297] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:43:17.304] [SEVERE ] configuration file was loaded from resources directory.
[17:43:19.493] [SEVERE ] player 2 placing token on slot 3
[17:43:19.497] [SEVERE ] removing player 2 token from slot 11
[17:43:19.500] [SEVERE ] removing player 3 token from slot 8
[17:43:19.500] [SEVERE ] removing player 2 token from slot 9
[17:43:19.501] [SEVERE ] player 3 placing token on slot 3
[17:43:19.503] [SEVERE ] removing player 3 token from slot 2
[17:43:19.506] [SEVERE ] removing player 1 token from slot 7
[17:43:19.506] [SEVERE ] removing player 1 token from slot 0
[17:43:19.506] [SEVERE ] player 1 placing token on slot 3
[17:43:19.507] [SEVERE ] removing player 4 token from slot 8
[17:43:19.507] [SEVERE ] removing player 4 token from slot 10
[17:43:19.507] [SEVERE ] removing player 4 token from slot 1
[17:43:19.508] [SEVERE ] removing player 2 token from slot 8
[17:43:19.508] [SEVERE ] removing player 2 token from slot 1
[17:43:19.508] [SEVERE ] removing player 2 token from slot 7
[17:43:19.509] [SEVERE ] player 3 placing token on slot 2
[17:43:19.509] [SEVERE ] removing player 3 token from slot 2
[17:43:19.509] [SEVERE ] removing player 3 token from slot 7
[17:43:19.517] [SEVERE ] player 4 placing token on slot 0
[17:43:19.517] [SEVERE ] removing player 2 token from slot 5
[17:43:19.519] [SEVERE ] removing player 3 token from slot 11
[17:43:19.517] [SEVERE ] removing player 1 token from slot 8
[17:43:19.519] [SEVERE ] removing player 3 token from slot 3
[17:43:19.519] [SEVERE ] removing player 2 token from slot 2
[17:43:19.519] [SEVERE ] removing player 4 token from slot 0
[17:43:19.520] [SEVERE ] removing player 2 token from slot 3
[17:43:19.520] [SEVERE ] removing player 3 token from slot 6
[17:43:19.520] [SEVERE ] removing player 1 token from slot 5
[17:43:19.520] [SEVERE ] removing player 4 token from slot 11
[17:43:19.521] [SEVERE ] removing player 1 token from slot 8
[17:43:19.522] [SEVERE ] placing card 36 in slot 4
[17:43:19.527] [SEVERE ] removing player 2 token from slot 9
[17:43:19.530] [SEVERE ] player 2 placing token on slot 2
[17:43:19.530] [SEVERE ] player 2 placing token on slot 0
[17:43:19.530] [SEVERE ] removing player 1 token from slot 9
[17:43:19.530] [SEVERE ] player 4 placing token on slot 0
[17:43:19.531] [SEVERE ] removing player 1 token from slot 8
[17:43:19.531] [SEVERE ] removing player 3 token from slot 7
[17:43:19.533] [SEVERE ] removing player 1 token from slot 9
[17:43:19.532] [SEVERE ] removing player 4 token from slot 0
[17:43:19.534] [SEVERE ] removing player 3 token from slot 11
[17:43:19.534] [SEVERE ] removing player 4 token from slot 7
[17:43:19.535] [SEVERE ] removing player 3 token from slot 10
[17:43:19.539] [SEVERE ] removing player 1 token from slot 10
[17:43:19.539] [SEVERE ] player 1 placing token on slot 1
[17:43:19.539] [SEVERE ] removing player 1 token from slot 6
[17:43:19.540] [SEVERE ] removing player 2 token from slot 7
[17:43:19.540] [SEVERE ] removing player 2 token from slot 2
[17:43:19.540] [SEVERE ] player 2 placing token on slot 1
[17:43:19.541] [SEVERE ] removing player 4 token from slot 9
[17:43:19.541] [SEVERE ] removing player 4 token from slot 2
[17:43:19.541] [SEVERE ] player 4 placing token on slot 2
[17:43:19.541] [SEVERE ] removing player 3 token from slot 7
